#,Zona,Tier,Nombre,Elementos infligidos,Debilidades,Resistencias,Inmune (elemento),Inmune (estado),Estados que inflige,Mecánica
1,Los Yermos,1,Goblin,—,—,—,—,—,—,Emboscada: puede atacarte por sorpresa antes de empezar el combate.
2,Los Yermos,2,Rata Gigante,—,fuego,—,—,—,veneno,Mordisco rápido: puede envenenar con cada ataque.
3,Los Yermos,3,Goblin Montaraz,—,fuego,—,—,—,sangrado,Flechas certeras: sus disparos pueden abrirte una herida que sangra.
4,Los Yermos,4,Huargo,—,—,—,—,—,—,Mordisco de manada: a veces otro lobo se suma al ataque con un mordisco extra.
5,Los Yermos,5,Chamán Goblin,oscuridad,sagrado,oscuridad,—,—,maldicion,Bendición oscura: se cura cuando está malherido y puede maldecir tu armadura.
6,Los Yermos,6,Esqueleto,—,sagrado,veneno,—,"sangrado, veneno",—,"Reanimación: la primera vez que cae, se reensambla con la mitad de su vida."
7,Los Yermos,7,Bandido,—,veneno,—,—,—,desarmado,Emboscada y desarme: ataca desde las sombras y puede anular el bonus de tu arma durante 2 turnos.
8,Los Yermos,8,Salteador,—,—,—,—,—,—,"Doble golpe y manos largas: a veces golpea dos veces seguidas, otras veces prefiere robarte el oro."
9,Los Yermos,9,Ogro del Yermo,—,fuego,—,—,paralizado,aturdido,Golpe aplastante: un mazazo más fuerte de lo normal que puede dejarte aturdido.
10,Los Yermos,10,El Carnicero,—,sagrado,veneno,—,—,sangrado,Furia: por debajo del 40% de vida sus golpes pegan más fuerte y sangran más a menudo.
11,Bosque de los Susurros,1,Orco,—,—,veneno,—,—,—,"Furia cíclica: 3 turnos de calma y 3 de furia; enfurecido, sus golpes hacen el doble de daño."
12,Bosque de los Susurros,2,Espíritu Vengativo,—,sagrado,—,veneno,"sangrado, veneno",maldicion,Maldición: a veces te maldice y reduce tu armadura durante 3 turnos.
13,Bosque de los Susurros,3,Troll,—,fuego,—,—,—,—,Regeneración: recupera vida al final de cada turno.
14,Bosque de los Susurros,4,Araña Tejesombras,—,fuego,—,—,—,veneno,Mordisco venenoso: su picadura puede envenenarte con cada golpe.
15,Bosque de los Susurros,5,Druida Corrupto,oscuridad,sagrado,oscuridad,—,—,maldicion,Corrupción viva: se cura cuando está malherido y puede maldecir tu armadura.
