#,Zona,Tier,Enemigo,Objeto,Tipo,Stats,Probabilidad,Categoría
1,Los Yermos,1,Goblin,Espada Goblin,arma,Daño: 2,10%,arma
1,Los Yermos,1,Goblin,Poción de Salud,poción,Restaura 20 HP,80%,pocion
1,Los Yermos,1,Goblin,Colmillo de Goblin,material,"Un colmillo curvo y afilado, típico de estas criaturas.",25%,material
2,Los Yermos,2,Rata Gigante,Poción de Salud,poción,Restaura 20 HP,70%,pocion
2,Los Yermos,2,Rata Gigante,Cola de Rata,material,"Correosa y resistente, casi imposible de cortar.",25%,material
2,Los Yermos,2,Rata Gigante,Botas de Piel de Rata,armadura · botas,Velocidad: +1,8%,armadura
3,Los Yermos,3,Goblin Montaraz,Poción de Salud,poción,Restaura 20 HP,60%,pocion
3,Los Yermos,3,Goblin Montaraz,Punta de Flecha,material,"Tallada en pedernal, todavía manchada de sangre seca.",30%,material
3,Los Yermos,3,Goblin Montaraz,Arco Corto,arma,Daño: 4,10%,arma
3,Los Yermos,3,Goblin Montaraz,Hombreras de Cazador,armadura · hombreras,Precisión: +2,8%,armadura
4,Los Yermos,4,Huargo,Poción de Salud,poción,Restaura 20 HP,70%,pocion
4,Los Yermos,4,Huargo,Colmillo de Huargo,material,"Un colmillo curvo, todavía caliente de la caza.",30%,material
4,Los Yermos,4,Huargo,Garras de Huargo,arma,Daño: 7,10%,arma
4,Los Yermos,4,Huargo,Botas de Huargo,armadura · botas,Velocidad: +2,8%,armadura
4,Los Yermos,4,Huargo,Cinturón de Manada,armadura · cinturon,Armadura: 2 | Velocidad: +2,8%,armadura
5,Los Yermos,5,Chamán Goblin,Poción de Salud,poción,Restaura 20 HP,55%,pocion
5,Los Yermos,5,Chamán Goblin,Huesos de Augur,material,Pequeños huesos tallados con símbolos que nadie más sabe leer.,30%,material
5,Los Yermos,5,Chamán Goblin,Cayado Goblin,arma,Daño: 8,10%,arma
5,Los Yermos,5,Chamán Goblin,Amuleto de Hueso,armadura · amuleto,Res.Mágica: 2,8%,armadura
6,Los Yermos,6,Esqueleto,Casco de Hueso,armadura · casco,Vida: +15 | Prob.Crítico: +3%,10%,armadura
6,Los Yermos,6,Esqueleto,Poción de Salud,poción,Restaura 20 HP,50%,pocion
6,Los Yermos,6,Esqueleto,Fragmento de Hueso,material,Un resto óseo todavía impregnado de magia residual.,25%,material
6,Los Yermos,6,Esqueleto,Guantes Óseos,armadura · guantes,Armadura: 2 | Daño Crítico: +10%,8%,armadura
7,Los Yermos,7,Bandido,Poción de Salud,poción,Restaura 20 HP,60%,pocion
7,Los Yermos,7,Bandido,Capa de Sombras,material,Tela oscura que parece absorber la luz.,25%,material
7,Los Yermos,7,Bandido,Daga Robada,arma,Daño: 9,10%,arma
7,Los Yermos,7,Bandido,Guantes de Ladrón,armadura · guantes,Prob.Crítico: +4% | Daño Crítico: +12%,8%,armadura
7,Los Yermos,7,Bandido,Perneras de Bandido,armadura · perneras,Velocidad: +2 | Evasión: +2,8%,armadura
7,Los Yermos,7,Bandido,Capucha de Ladrón,armadura · casco,Vida: +18 | Prob.Crítico: +4%,8%,armadura
8,Los Yermos,8,Salteador,Poción de Salud,poción,Restaura 20 HP,55%,pocion
8,Los Yermos,8,Salteador,Bolsa Remendada,material,Cosida con retales de otras tantas víctimas.,30%,material
8,Los Yermos,8,Salteador,Dagas Gemelas,arma,Daño: 10,10%,arma
8,Los Yermos,8,Salteador,Guantes de Saltador,armadura · guantes,Daño Crítico: +13%,8%,armadura
8,Los Yermos,8,Salteador,Perneras Ligeras,armadura · perneras,Evasión: +3,8%,armadura
9,Los Yermos,9,Ogro del Yermo,Poción de Salud,poción,Restaura 20 HP,55%,pocion
9,Los Yermos,9,Ogro del Yermo,Piel de Ogro,material,Gruesa y correosa; cuesta encontrar un cuchillo que la atraviese.,30%,material
9,Los Yermos,9,Ogro del Yermo,Yelmo de Ogro,armadura · casco,Vida: +22,8%,armadura
9,Los Yermos,9,Ogro del Yermo,Cinturón Trenzado,armadura · cinturon,Armadura: 3,8%,armadura
10,Los Yermos,10,El Carnicero,Poción de Salud,poción,Restaura 20 HP,60%,pocion
10,Los Yermos,10,El Carnicero,Hueso de Carnicero,material,Astillado y afilado como si lo hubiese hecho a propósito.,30%,material
10,Los Yermos,10,El Carnicero,Peto del Carnicero,armadura · peto,Armadura: 6 | Vida: +15,10%,armadura
10,Los Yermos,10,El Carnicero,Amuleto de Sangre,armadura · amuleto,Res.Mágica: 3,8%,armadura
11,Bosque de los Susurros,1,Orco,Hacha de Batalla,arma,Daño: 12,10%,arma
11,Bosque de los Susurros,1,Orco,Poción de Fuerza,poción,Aumenta el ataque temporalmente,60%,pocion
11,Bosque de los Susurros,1,Orco,Peto de Orco,armadura · peto,Armadura: 7 | Vida: +20,8%,armadura
11,Bosque de los Susurros,1,Orco,Colmillo de Orco,material,"Un colmillo enorme, todavía manchado de sangre seca.",20%,material
11,Bosque de los Susurros,1,Orco,Espada Flamígera,arma,Daño: 10 (Fuego) · inflige quemadura 25%,8%,arma
11,Bosque de los Susurros,1,Orco,Brazales de Guerra,armadura · brazales,Prob.Crítico: +3% | Daño: +3,8%,armadura
12,Bosque de los Susurros,2,Espíritu Vengativo,Poción de Salud,poción,Restaura 20 HP,50%,pocion
12,Bosque de los Susurros,2,Espíritu Vengativo,Esencia Espectral,material,Un jirón de energía fantasmal que se resiste a disiparse.,30%,material
12,Bosque de los Susurros,2,Espíritu Vengativo,Daga Espectral,arma,Daño: 14,10%,arma
12,Bosque de los Susurros,2,Espíritu Vengativo,Brazales Espectrales,armadura · brazales,Res.Mágica: 4 | Prob.Crítico: +4%,8%,armadura
13,Bosque de los Susurros,3,Troll,Maza de Piedra,arma,Daño: 17,8%,arma
13,Bosque de los Susurros,3,Troll,Poción de Regeneración,poción,Un brebaje verde que burbujea. Cura 10 HP durante 3 turnos.,70%,pocion
13,Bosque de los Susurros,3,Troll,Piel de Troll,material,Una piel gruesa y rugosa que parece pulsar con vida propia. Muy valiosa para un sastre.,5%,material
13,Bosque de los Susurros,3,Troll,Hombreras de Troll,armadura · hombreras,Armadura: 3 | Regeneración: +2 HP/turno | Precisión: +3,8%,armadura
14,Bosque de los Susurros,4,Araña Tejesombras,Poción de Salud,poción,Restaura 20 HP,55%,pocion
14,Bosque de los Susurros,4,Araña Tejesombras,Seda de Tejesombras,material,"Un hilo negro, ligero pero casi imposible de romper.",30%,material
14,Bosque de los Susurros,4,Araña Tejesombras,Colmillo de Tejesombras,arma,Daño: 12 (Veneno) · inflige veneno 25%,10%,arma
14,Bosque de los Susurros,4,Araña Tejesombras,Perneras de Tejedora,armadura · perneras,Evasión: +3,8%,armadura
15,Bosque de los Susurros,5,Druida Corrupto,Poción de Salud,poción,Restaura 20 HP,50%,pocion
15,Bosque de los Susurros,5,Druida Corrupto,Savia Corrupta,material,Negra y espesa; huele a tierra removida y a algo más.,30%,material
15,Bosque de los Susurros,5,Druida Corrupto,Vara Retorcida,arma,Daño: 17,10%,arma
15,Bosque de los Susurros,5,Druida Corrupto,Amuleto de Corteza,armadura · amuleto,Res.Mágica: 4,8%,armadura
16,Bosque de los Susurros,6,Oso Espectral,Poción de Salud,poción,Restaura 20 HP,50%,pocion
16,Bosque de los Susurros,6,Oso Espectral,Pelaje Espectral,material,Frío al tacto incluso cuando no hay nada que tocar.,30%,material
16,Bosque de los Susurros,6,Oso Espectral,Garra Espectral,arma,Daño: 17,10%,arma
16,Bosque de los Susurros,6,Oso Espectral,Cráneo de Oso Espectral,armadura · casco,Vida: +20,8%,armadura
17,Bosque de los Susurros,7,Enjambre de Polillas Pálidas,Poción de Salud,poción,Restaura 20 HP,50%,pocion
17,Bosque de los Susurros,7,Enjambre de Polillas Pálidas,Polvo de Ala Pálida,material,Fino como la ceniza; sigue posándose mucho después de recogerlo.,30%,material
17,Bosque de los Susurros,7,Enjambre de Polillas Pálidas,Guanteletes de Polvo de Ala,armadura · guantes,Daño Crítico: +5%,8%,armadura
18,Bosque de los Susurros,8,Lobo Umbrío,Poción de Salud,poción,Restaura 20 HP,50%,pocion
18,Bosque de los Susurros,8,Lobo Umbrío,Pelaje Umbrío,material,Absorbe la luz en vez de reflejarla; sigue frío mucho después de la caza.,30%,material
18,Bosque de los Susurros,8,Lobo Umbrío,Colmillos de Sombra,arma,Daño: 18,10%,arma
18,Bosque de los Susurros,8,Lobo Umbrío,Botas de Sombra,armadura · botas,Velocidad: +2,8%,armadura
19,Bosque de los Susurros,9,Ent Corrompido,Poción de Salud,poción,Restaura 20 HP,50%,pocion
19,Bosque de los Susurros,9,Ent Corrompido,Corteza Podrida,material,"Negra por dentro, dura como el hierro por fuera.",30%,material
19,Bosque de los Susurros,9,Ent Corrompido,Rama de Guerra,arma,Daño: 20,8%,arma
19,Bosque de los Susurros,9,Ent Corrompido,Placa de Corteza,armadura · peto,Armadura: 8 | Vida: +20,8%,armadura
19,Bosque de los Susurros,9,Ent Corrompido,Ramas Nudosas,armadura · hombreras,Armadura: 3 | Precisión: +5,8%,armadura
20,Bosque de los Susurros,10,El Enraizado,Poción de Salud,poción,Restaura 20 HP,60%,pocion
20,Bosque de los Susurros,10,El Enraizado,Raíz Atada,material,Sigue retorciéndose muy despacio incluso arrancada del suelo.,30%,material
20,Bosque de los Susurros,10,El Enraizado,Cetro Enraizado,arma,Daño: 23 (Oscuridad) · inflige marchitamiento 25%,10%,arma
20,Bosque de los Susurros,10,El Enraizado,Cinturón de Raíces,armadura · cinturon,Armadura: 6 | Vida: +20,8%,armadura
